id,host_response_rate,host_acceptance_rate,neighbourhood_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,Wifi,Air_conditioning,Kitchen_and_dining,Washer_dryer,TV,Safe,Refrigerator,Smoke_alarm_home_safety,Essentials,Services,property_Entire_Place,property_Hotel_Room,property_Other,property_Private_Room,property_Shared_Room
30320,100,100,Sol,40.41476,-3.70418,2,1.0,1.0,2.0,157.0,5,50,342,173,10,1570.0,4.63,4.71,4.88,4.82,4.78,4.9,4.69,0.93,1,1,1,0,1,0,0,0,0,0,True,False,False,False,False
40916,100,100,Universidad,40.42247,-3.70577,2,1.0,1.0,3.0,143.0,5,50,341,53,40,5720.0,4.68,4.71,4.9,4.87,4.81,4.88,4.59,0.29,1,1,1,0,1,0,0,0,0,0,True,False,False,False,False
62423,100,99,Justicia,40.41884,-3.69655,4,1.5,1.0,2.0,65.0,1,30,299,249,246,15990.0,4.65,4.78,4.46,4.8,4.86,4.97,4.6,2.78,1,0,1,1,0,0,1,1,1,0,False,False,False,True,False
70073,100,100,Universidad,40.42252,-3.7025,2,1.0,1.0,1.0,116.0,30,360,305,36,60,6960.0,4.23,4.49,4.42,4.43,4.4,4.6,4.09,0.21,1,1,1,1,1,0,1,0,1,1,True,False,False,False,False
70310,100,100,Universidad,40.42252,-3.7025,2,1.0,1.0,2.0,79.0,30,360,317,31,120,9480.0,4.37,4.65,4.55,4.8,4.71,4.87,4.1,0.18,1,1,1,1,1,0,1,0,1,1,True,False,False,False,False
72150,100,95,Embajadores,40.4115,-3.70449,6,1.0,3.0,5.0,300.0,3,180,180,133,90,27000.0,4.63,4.64,4.43,4.87,4.85,4.84,4.48,0.75,1,1,1,1,0,0,1,1,1,1,True,False,False,False,False
86042,100,95,Embajadores,40.40939,-3.69812,6,1.0,3.0,3.0,166.0,3,365,150,233,126,20916.0,4.83,4.81,4.65,4.88,4.92,4.92,4.68,1.34,1,1,1,1,1,0,1,1,1,1,True,False,False,False,False
120293,100,94,Palacio,40.41143,-3.70912,2,1.0,1.0,2.0,45.0,1,365,116,402,198,8910.0,4.8,4.85,4.82,4.9,4.9,4.95,4.74,2.35,1,0,1,1,1,0,1,1,1,1,False,False,False,True,False
167183,100,68,Piovera,40.45575,-3.64912,2,1.0,1.0,2.0,90.0,1,1125,336,52,54,4860.0,4.82,4.8,4.94,4.9,4.82,4.84,4.8,0.32,1,1,1,0,1,0,0,1,1,1,True,False,False,False,False
199016,100,85,Universidad,40.4257,-3.70383,2,1.0,1.0,1.0,60.0,2,365,257,72,156,9360.0,4.76,4.83,4.8,4.87,4.85,4.96,4.69,0.58,1,0,1,1,1,0,1,1,1,1,False,False,False,True,False
